Red Baseball Cap Limited | Asset ID: 1028606 | Owners: 44,400
Chef Hat | Asset ID: 1374258 | Owners: 19,983
Robux Hat | Asset ID: 1374267 | Owners: 1,226
Kitty Ears | Asset ID: 1374269 | Owners: 145,423
Teakettle Hat Limited | Asset ID: 1374328 | Owners: 1,218
Cake Hat | Asset ID: 1376467 | Owners: 3,584
Official's Hat Limited | Asset ID: 1396360 | Owners: 154
2008 ROBLOX Visor | Asset ID: 1459035 | Owners: 71,285
Opened Bluesteel Gift of Long Years | Asset ID: 1459048 | Owners: 10,575
Bluesteel Viking Helm of Infinite Pillage Limited | Asset ID: 1483632 | Owners: 8,795
Stationary Egg of Boring Limited | Asset ID: 1530795 | Owners: 4,740
Blinking Egg of Relocation Limited | Asset ID: 1532381 | Owners: 2,229
Bouncing Egg of Boing Boing Limited | Asset ID: 1532384 | Owners: 3,227
Cracked Egg of Pwnage Limited | Asset ID: 1532385 | Owners: 276
Puzzling Egg of Enigma Limited | Asset ID: 1532386 | Owners: 1,565
Golden Egg of Kings Limited | Asset ID: 1532387 | Owners: 984
Legendary Egg of Gygax Limited | Asset ID: 1532388 | Owners: 707
Invisible Egg of Shadow Limited | Asset ID: 1532389 | Owners: 1,900
Bombastic Egg of Annihilation Limited | Asset ID: 1532390 | Owners: 622
Kind Egg of Sharing Limited | Asset ID: 1532395 | Owners: 2,254
Wanwood Egg of ZOMG! Limited | Asset ID: 1532396 | Owners: 837
Bluesteel Egg of Genius Limited | Asset ID: 1533893 | Owners: 3,508
Tiny Egg of Nonexistence | Asset ID: 1533894 | Owners: 2,739
Green Banded Top Hat Limited | Asset ID: 1563352 | Owners: 3,700
Verified Sign | Asset ID: 1567446 | Owners: 1,066,890
Ushanka | Asset ID: 1569260 | Owners: 1,469
Football Helmet | Asset ID: 1590045 | Owners: 67,358
Golden Teapot of Pwnage Limited | Asset ID: 1594180 | Owners: 222
Mining Helmet | Asset ID: 1609609 | Owners: 1,359
Party Hat | Asset ID: 1779045 | Owners: 451
PhD Hat | Asset ID: 2062347 | Owners: 6,408
The Lolcat Bible | Asset ID: 2708252 | Owners: 247
Uncle Sam's Top Hat | Asset ID: 2711557 | Owners: 3,647
USA Baseball Cap | Asset ID: 2715685 | Owners: 2,268
Bluesteel Ring of Olympia | Asset ID: 3271950 | Owners: 151
Golden Ring of Olympia | Asset ID: 3271951 | Owners: 770
Wanwood Ring of Olympia | Asset ID: 3271957 | Owners: 2,060
The Riddling Skull Limited | Asset ID: 4765718 | Owners: 11,712
Opened Spooky Gift of Halloweeeeeeen! | Asset ID: 4766786 | Owners: 1,334
Orange Winter Cap | Asset ID: 5013609 | Owners: 4,517
Sapphire Eye Limited | Asset ID: 5013615 | Owners: 503
White Witch Hat Limited | Asset ID: 5207053 | Owners: 1,351
Gold Buckle Capotain Limited | Asset ID: 5671970 | Owners: 341
Rohawk Brave Headgear | Asset ID: 5681653 | Owners: 957
Rusty Tetramino of Competence Limited | Asset ID: 5785985 | Owners: 4,594
Silver Tetramino of Accomplishment Limited | Asset ID: 5786026 | Owners: 3,820
Gold Tetramino of Mastery Limited | Asset ID: 5786047 | Owners: 3,888
Black Tricorne Limited | Asset ID: 5808105 | Owners: 1,503
Ninja Mask of Light | Asset ID: 5808672 | Owners: 514,859
Cool Snowman Head Limited | Asset ID: 5832475 | Owners: 5,588
Opened Crimson Gift of Good Citizenship | Asset ID: 6020380 | Owners: 58,117
Opened Chancy Gift of Roshambo | Asset ID: 6024390 | Owners: 2,634
Opened Lucrative Gift of Mercantilism | Asset ID: 6125503 | Owners: 16,487
Opened Neon Gift of Self-Actualization | Asset ID: 6144220 | Owners: 2,833
Opened Tragic Gift of Reparations | Asset ID: 6186233 | Owners: 2,711
Opened Royal Gift of Kings | Asset ID: 6203087 | Owners: 2,546
Opened Beryl Gift of Ambassador | Asset ID: 6313715 | Owners: 1,685
Racing Helmet Limited | Asset ID: 6379764 | Owners: 52,902
Tixsplosion Limited | Asset ID: 6512277 | Owners: 13,547
Thought Fortress Limited | Asset ID: 6548058 | Owners: 1,977
Scissors Limited | Asset ID: 6550129 | Owners: 1,664
Helm of the Flashing Bolt Limited | Asset ID: 6551281 | Owners: 1,866
The Ice Skull of Nevermoor Limited | Asset ID: 6552254 | Owners: 1,121
Golden Top Hat of Bling Bling Limited | Asset ID: 6552812 | Owners: 1,688
Tin Pot | Asset ID: 6837506 | Owners: 29,824
Red Hat of the Orient Limited | Asset ID: 6837513 | Owners: 541
Umbrella Hat | Asset ID: 6837558 | Owners: 271
I Heart ROBLOX Sign | Asset ID: 7046660 | Owners: 761
2009 ROBLOX Visor | Asset ID: 7135977 | Owners: 121,859
Inaugural Top Hat Limited | Asset ID: 7248672 | Owners: 246
The Moon Limited | Asset ID: 7319168 | Owners: 2,409
Red Tornado | Asset ID: 7622548 | Owners: 4,785
Supa Fly Cap Limited | Asset ID: 7636350 | Owners: 2,722
Pilot Hat | Asset ID: 7703182 | Owners: 2,497
Master Chef | Asset ID: 7703508 | Owners: 1,498
Cyan Football Helmet | Asset ID: 7703661 | Owners: 10,034
Cheezburger: The Complete History Limited | Asset ID: 8331190 | Owners: 678
Tiny Top Hat | Asset ID: 8331552 | Owners: 9,942
Blockhead Baseball Cap | Asset ID: 8337370 | Owners: 28,788
Samurai Helmet | Asset ID: 8569514 | Owners: 3,054
Knight Helmet | Asset ID: 8570755 | Owners: 30,259
ReeseMcBlox's Guide to Instant Sunshine | Asset ID: 8571139 | Owners: 638
Bronze ROBLOX Music Video Award Limited | Asset ID: 8795504 | Owners: 197
Black Knight Helmet Limited | Asset ID: 8796225 | Owners: 321
Fishes Are Friends Not Food Limited | Asset ID: 8798254 | Owners: 383
Leprechaun Hat | Asset ID: 8798578 | Owners: 1,229
Buxsplosion | Asset ID: 9251145 | Owners: 14,301
Muffin Cat: King of Muffins | Asset ID: 9252986 | Owners: 829
Rubber Duckie Limited | Asset ID: 9254254 | Owners: 14,003
Silverthorn Antlers Limited | Asset ID: 9255011 | Owners: 19,356
Unicorn Horn | Asset ID: 9255093 | Owners: 27,413
Extreme Sports Helmet: BASE Jump Black | Asset ID: 9466840 | Owners: 118,711
Bloxmaster Headband | Asset ID: 9470212 | Owners: 2,142
The Tale of EPIC DUCK Limited | Asset ID: 9470887 | Owners: 796
Beret | Asset ID: 9471278 | Owners: 7,865
Treehugger Visor Limited | Asset ID: 9910514 | Owners: 3,658
ROBLOX Joke Book | Asset ID: 10055953 | Owners: 452
Opened Well Connected Gift of Linkmaster | Asset ID: 10056822 | Owners: 972
Sailor Cap | Asset ID: 10058505 | Owners: 4,053
Red Ribbons | Asset ID: 10059620 | Owners: 624
Green Ribbons | Asset ID: 10059743 | Owners: 1,565
Black Ribbons | Asset ID: 10060241 | Owners: 2,133
Noob Sign | Asset ID: 10060525 | Owners: 854
The Earth Limited | Asset ID: 10072631 | Owners: 1,013
Dragons: The Legends | Asset ID: 10125889 | Owners: 623
Knight Helm of the Scarlet Order | Asset ID: 10130281 | Owners: 1,104
Black Iron Warhelm of Pwnage Limited | Asset ID: 10351018 | Owners: 650
ROBLOX Classic Brigand's Sword Limited | Asset ID: 10468915 | Owners: 17,306
Orc Blade | Asset ID: 10469910 | Owners: 47,067
Bloxy Cola | Asset ID: 10472779 | Owners: 87,204
Paper Hat | Asset ID: 10476359 | Owners: 140,591
Board With a Nail in It | Asset ID: 10510024 | Owners: 1,298
Mask of El Diablo Azul | Asset ID: 10546233 | Owners: 4,471
Mask of Furia Roja | Asset ID: 10546238 | Owners: 6,243
Trojan Infantry Helmet | Asset ID: 10546552 | Owners: 2,815
Ye Briny Pirate Loretome of Doooom | Asset ID: 10552445 | Owners: 309
Newsboy Cap | Asset ID: 10589554 | Owners: 1,449
Davy Crockett's Hat | Asset ID: 10589725 | Owners: 3,989
Doctor Hat | Asset ID: 10589762 | Owners: 853
Mr. Quackers Limited | Asset ID: 10628294 | Owners: 360
Blue Hat With Crazy Big Earflaps | Asset ID: 10628460 | Owners: 5,524
Queen's Guard Hat | Asset ID: 10628538 | Owners: 5,075
I Heart Mom Sign Limited | Asset ID: 10630526 | Owners: 3,126
Dalmatian Hat | Asset ID: 10658672 | Owners: 273
Umbrella Hat | Asset ID: 10658698 | Owners: 8,248
Rasta Hat | Asset ID: 10658799 | Owners: 7,881
Beige Pith Helmet | Asset ID: 10705090 | Owners: 4,364
Tan Pith Helmet | Asset ID: 10705097 | Owners: 4,510
Witches Brew | Asset ID: 10727852 | Owners: 22,819
Black Iron Mace of Pwnage | Asset ID: 10730984 | Owners: 2,176
Yellow Dealy Boppers Limited | Asset ID: 10749130 | Owners: 4,741
ReeseMcBlox's Dealy Boppers | Asset ID: 10749254 | Owners: 10,573
Bluesteel Claw | Asset ID: 10758456 | Owners: 18,655
Napoleon's Hat | Asset ID: 10758794 | Owners: 569
A Shot in the Dark | Asset ID: 10759502 | Owners: 243
Staff of Sparks | Asset ID: 10760425 | Owners: 4,278
Nurse Hat | Asset ID: 10770260 | Owners: 4,333
Bee Hat | Asset ID: 10770266 | Owners: 816
Crown of Golden Laurels | Asset ID: 10770304 | Owners: 360
Fencing Foil | Asset ID: 10831489 | Owners: 1,485
Knight's Sword | Asset ID: 10831509 | Owners: 4,830
Spartan Helmet | Asset ID: 10832171 | Owners: 5,237
The Viridium Skull Limited | Asset ID: 10860580 | Owners: 1,289
Aussie Slouch | Asset ID: 10860590 | Owners: 12,174
War Rocks | Asset ID: 10884288 | Owners: 8,961
Pirate Cutlass | Asset ID: 10910681 | Owners: 3,559
WWII Infantry Helmet | Asset ID: 10911958 | Owners: 87,213
WWII General's Helmet (Limited Edition) Limited | Asset ID: 10911965 | Owners: 574
Fez | Asset ID: 10911974 | Owners: 937
Propeller Beanie | Asset ID: 10911990 | Owners: 4,834
Conquistador Helmet | Asset ID: 10911998 | Owners: 1,989
Military Officer's Cap | Asset ID: 10912180 | Owners: 10,263
Dr. Atomic's Mesmerizing Quantodrome | Asset ID: 10914012 | Owners: 218
Brown Ushanka | Asset ID: 10914014 | Owners: 6,050
Shadowy Ninja Star of the Silent House | Asset ID: 11115851 | Owners: 7,455
Dog Ears | Asset ID: 11142487 | Owners: 32,554
Motocross #48: Old Skool | Asset ID: 11142504 | Owners: 10,284
Ten Gallon Hat | Asset ID: 11188692 | Owners: 1,145
Mr. Tentacles | Asset ID: 11188696 | Owners: 575
Take a Chance Limited | Asset ID: 11188705 | Owners: 14,808
Blackhawk Helicopter Pilot Headgear | Asset ID: 11217859 | Owners: 9,067
Turtle Shell Helmet | Asset ID: 11218895 | Owners: 3,479
Martian Space Helmet | Asset ID: 11246912 | Owners: 2,826
Sherlock Holmes Cap | Asset ID: 11246975 | Owners: 605
Air Force Helmet | Asset ID: 11247097 | Owners: 4,024
Black Ninja Headband of the Silent Sun | Asset ID: 11297708 | Owners: 44,491
White Ninja Headband of the Unimpeachable Soul Limited | Asset ID: 11297746 | Owners: 32,324
Orange Ninja Headband of All Earth's Fire Limited | Asset ID: 11297766 | Owners: 297
Roman Gladiator Helmet | Asset ID: 11325510 | Owners: 1,438
English Schoolboy Cap, Circa 1850 | Asset ID: 11328424 | Owners: 527
Flamenco Dancer | Asset ID: 11328774 | Owners: 961
Caesar's Helmet | Asset ID: 11362183 | Owners: 302
French Legionnaire's Cap | Asset ID: 11362323 | Owners: 9,674
Staff of the Woodlands | Asset ID: 11373617 | Owners: 14,835
Silver Ninja Star of the Brilliant Light | Asset ID: 11377306 | Owners: 241,525
Healing Potion | Asset ID: 11419319 | Owners: 27,823
Red Stratobloxxer | Asset ID: 11419882 | Owners: 8,733
Pikeman Helmet | Asset ID: 11421585 | Owners: 17,235
Hedge Wizard's Hat Limited | Asset ID: 11441821 | Owners: 153
Slateskin Potion | Asset ID: 11450664 | Owners: 23,795
Claymore | Asset ID: 11452821 | Owners: 66,474
Katana | Asset ID: 11453385 | Owners: 55,206
Winged Helmet | Asset ID: 11453532 | Owners: 1,101
Purple Turban | Asset ID: 11453545 | Owners: 1,599
Army Cap | Asset ID: 11453570 | Owners: 4,120
Desert Legionnaire | Asset ID: 11453634 | Owners: 451
Korblox Mandible Helmet | Asset ID: 11453642 | Owners: 2,766
Royal Crown | Asset ID: 11453654 | Owners: 269
Fuse Bomb | Asset ID: 11563251 | Owners: 62,680
Scuba Helmet | Asset ID: 11577144 | Owners: 1,730
Opened Bombastic Gift of Builders Club | Asset ID: 11596982 | Owners: 11,637
Pikeman Commander | Asset ID: 11610815 | Owners: 2,343
Redcoat Hat | Asset ID: 11611023 | Owners: 2,554
Eagle Crested Woodsman Cap | Asset ID: 11665518 | Owners: 218
Motocross #91: Skull | Asset ID: 11679119 | Owners: 6,058
Motocross #62: Fire | Asset ID: 11679229 | Owners: 13,984
Blow Dryer | Asset ID: 11719016 | Owners: 9,538
Colonel Electric 144 Hz RCA TruVision | Asset ID: 11721037 | Owners: 4,966
Magnablox Trinitron | Asset ID: 11721080 | Owners: 382
2009 Graduation Cap Limited | Asset ID: 11721340 | Owners: 2,554
Turbo Builders Club Hard Hat Limited | Asset ID: 11844853 | Owners: 173,333
Musketeer | Asset ID: 11849078 | Owners: 18,077
Red Samurai Helmet | Asset ID: 11884438 | Owners: 289
Rolling Pin | Asset ID: 11885154 | Owners: 2,722
Bloxilicious Bubble Gum | Asset ID: 11895536 | Owners: 325,616
Older Vintage Cap | Asset ID: 11952091 | Owners: 8,858
Old Vintage Cap | Asset ID: 11956259 | Owners: 5,916
Police Baton | Asset ID: 11956382 | Owners: 18,738
Spec Alpha Biograft Energy Sword Limited | Asset ID: 11999235 | Owners: 10,686
Subspace Tripmine | Asset ID: 11999247 | Owners: 16,045
XLS Mark II Pulse Laser Pistol | Asset ID: 11999279 | Owners: 6,862
Loltacular Fathers' Day Golf Cap | Asset ID: 12000614 | Owners: 1,648
DOS 5.0 | Asset ID: 12000833 | Owners: 952
Atropos XR | Asset ID: 12000902 | Owners: 542
Princedom Janitor Bot | Asset ID: 12001163 | Owners: 369
ASCII White | Asset ID: 12001199 | Owners: 504
Duragizer Evercell | Asset ID: 12001260 | Owners: 703
Shark Attack | Asset ID: 12145407 | Owners: 1,020
Wooden Sword | Asset ID: 12145515 | Owners: 7,409
Sword of the Highlander | Asset ID: 12187319 | Owners: 1,447
Ronin Katana | Asset ID: 12187348 | Owners: 79,766
Sand Tempest Scimitar | Asset ID: 12187431 | Owners: 7,766
Executioner's Mask | Asset ID: 12230017 | Owners: 466
Candle | Asset ID: 12230051 | Owners: 771
Green Martian Space Helmet Limited | Asset ID: 12313606 | Owners: 443
Cheetar | Asset ID: 12314206 | Owners: 2,604
Sizlack Eater of Heads | Asset ID: 12314270 | Owners: 757
Harold Limited | Asset ID: 12314312 | Owners: 472
Gourmet Chef | Asset ID: 12314404 | Owners: 5,576
Sheikh | Asset ID: 12436480 | Owners: 10,250
Bobby Cap | Asset ID: 12436560 | Owners: 1,269
Train Conductor | Asset ID: 12436561 | Owners: 4,221
Croc Attack | Asset ID: 12466378 | Owners: 221
Canadian Baseball Cap Limited | Asset ID: 12503326 | Owners: 1,734
Electric Blue | Asset ID: 12504077 | Owners: 589
Space Sandwich | Asset ID: 12547976 | Owners: 28,336
Asimov Outlaw | Asset ID: 12548563 | Owners: 1,643
Ultimax Zero | Asset ID: 12548658 | Owners: 404
Roman Candle | Asset ID: 12562390 | Owners: 629
Sparkler | Asset ID: 12562394 | Owners: 15,945
R-80 | Asset ID: 12562495 | Owners: 49,103
Motocross 76: Old Glory | Asset ID: 12565541 | Owners: 1,793
USA Umbrella | Asset ID: 12565614 | Owners: 415
Liberty's Crown | Asset ID: 12566260 | Owners: 343
Mad Hatter's Hat | Asset ID: 12730033 | Owners: 240
Frankenstein Bolts | Asset ID: 12730173 | Owners: 1,976
Double Bladed Hand Axe | Asset ID: 12775410 | Owners: 17,644
Hendrix | Asset ID: 12776416 | Owners: 258
Teddy Bloxpin | Asset ID: 12848902 | Owners: 20,654
Star-Crossed Helm of Silver Spikes | Asset ID: 12864045 | Owners: 259
Teddy Trap | Asset ID: 12890798 | Owners: 7,428
Bundle of TNT | Asset ID: 12902404 | Owners: 4,535
Sunday Bonnet | Asset ID: 12907946 | Owners: 217
Legendary Electrum Helmet of Arcane Secrets | Asset ID: 12908022 | Owners: 164
Banjo | Asset ID: 12909278 | Owners: 760
Wagah Border Guard | Asset ID: 13039103 | Owners: 1,152
Violet Wizard Hat of Nightshade | Asset ID: 13121435 | Owners: 1,003
Frumpled Wizard Hat of Old Coots | Asset ID: 13121508 | Owners: 6,422
Red Wizard Hat of Flames Limited | Asset ID: 13121630 | Owners: 899
Green Wizard Hat of Vitae | Asset ID: 13121696 | Owners: 3,072
Apprentice Wizard Hat | Asset ID: 13149521 | Owners: 11,167
Dark Wizard's Hat of Gloom | Asset ID: 13149560 | Owners: 506
Blue Hydromage Wizard Hat | Asset ID: 13149601 | Owners: 574
Crimson Wizard Hat of Dragonkind | Asset ID: 13149660 | Owners: 182
Jungle Guitar | Asset ID: 13206856 | Owners: 559
Spooky Guitar | Asset ID: 13206887 | Owners: 278
Wooden Club | Asset ID: 13206984 | Owners: 3,365
Stone Hammer | Asset ID: 13207169 | Owners: 21,259
Sun Acolyte | Asset ID: 13207429 | Owners: 2,171
Triceratops | Asset ID: 13207640 | Owners: 1,130
Loyal Order of Water Buffaloes Cermonial Headdress | Asset ID: 13207661 | Owners: 326
Xolotl's Aztec Warrior Mask | Asset ID: 13207741 | Owners: 425
Summertime 2009 R&R&R Limited | Asset ID: 13334984 | Owners: 55,303
Black Bowler | Asset ID: 13335150 | Owners: 8,038
Ranger Hat | Asset ID: 13335289 | Owners: 22,064
King Arthur's Crown | Asset ID: 13386367 | Owners: 178
Sir Pwnsalot | Asset ID: 13386385 | Owners: 7,442
Mrs. Tentacles Limited | Asset ID: 13416321 | Owners: 1,733
Fish Head | Asset ID: 13416548 | Owners: 615
RobloFish(TM) Swim Goggles | Asset ID: 13416646 | Owners: 6,945
Mr. Tentacles's Guide to the Sand and the Sea | Asset ID: 13425539 | Owners: 1,079
Pirate Headband | Asset ID: 13476872 | Owners: 24,902
Charles Owen Beagler | Asset ID: 13477043 | Owners: 273
Captain Spack Jarrow | Asset ID: 13477084 | Owners: 317
Imperial Shako | Asset ID: 13477121 | Owners: 3,797
NOMNOMNOM | Asset ID: 13477530 | Owners: 1,343
Pirate Juice | Asset ID: 13477890 | Owners: 3,646
Skele-tar | Asset ID: 13478015 | Owners: 1,203
Kendo Mask | Asset ID: 13654333 | Owners: 673
Silly Monkey | Asset ID: 13700820 | Owners: 6,450
Alpine Hat | Asset ID: 13701005 | Owners: 1,856
Turkey Leg | Asset ID: 13745494 | Owners: 24,615
French Brimmed Cap | Asset ID: 13746089 | Owners: 4,069
Neon Calaca Limited | Asset ID: 13793909 | Owners: 310
Retro Gray Alien | Asset ID: 13837194 | Owners: 6,083
Vlhurg Invader | Asset ID: 13837211 | Owners: 637
BYZGLORP Ambassador | Asset ID: 13837238 | Owners: 426
Atomic Disintegrator 3100 | Asset ID: 13838639 | Owners: 9,910
Ninja Guitar | Asset ID: 13841367 | Owners: 1,530
Ancient Peacock Warrior | Asset ID: 13843087 | Owners: 203
Gondolier's Hat | Asset ID: 13844651 | Owners: 2,634
Viking Plundercap | Asset ID: 13981396 | Owners: 10,477
Still Life | Asset ID: 13981422 | Owners: 748
Infidel Castor | Asset ID: 13981647 | Owners: 1,388
Big Oil Man | Asset ID: 14029946 | Owners: 480
Golden Eagles Marching Band | Asset ID: 14082269 | Owners: 4,509
Box of Destiny | Asset ID: 14083150 | Owners: 337
Lei | Asset ID: 14128456 | Owners: 34,074
Bucket Hat (Not the Real One) | Asset ID: 14128590 | Owners: 580
Chill Tiki | Asset ID: 14129075 | Owners: 196
Sir Rich McMoneyston, III Disguise | Asset ID: 14129221 | Owners: 374
Horned Velociraptor Skull | Asset ID: 14130172 | Owners: 1,452
Maniacal Pumpkin Bomb | Asset ID: 14130887 | Owners: 481
Machete | Asset ID: 14131296 | Owners: 2,066
Pirate Hook | Asset ID: 14131602 | Owners: 4,179
Green Beret | Asset ID: 14132946 | Owners: 43,116
Builderman's Business Hat | Asset ID: 14133030 | Owners: 4,471
Cyclopean Mummy | Asset ID: 14405540 | Owners: 3,026
Biker Cap | Asset ID: 14462497 | Owners: 10,239
